
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:135            BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:445            BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:3306           BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:3389           BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:15575          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:49152          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:49153          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:49154          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:49155          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:49158          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:49159          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:60674          BJNGDHKZMB3X:0         LISTENING
  TCP    10.11.58.141:139       BJNGDHKZMB3X:0         LISTENING
  TCP    10.11.58.141:49716     bjngsmail04:38751      ESTABLISHED
  TCP    10.11.58.141:49723     bjngsdcap02:1026       ESTABLISHED
  TCP    10.11.58.141:49768     INDYSLYNC03:5061       ESTABLISHED
  TCP    10.11.58.141:49872     bjngsdcap03:49156      ESTABLISHED
  TCP    10.11.58.141:51458     10.41.255.9:http       ESTABLISHED
  TCP    10.11.58.141:51464     10.41.255.9:http       FIN_WAIT_2
  TCP    10.11.58.141:51730     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51732     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51733     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51735     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51736     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51738     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51740     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51741     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51743     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51744     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51746     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51747     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51749     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51750     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51752     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51753     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51755     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51756     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51758     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51760     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51761     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51763     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51764     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51766     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51767     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51769     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51770     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51772     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51773     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51775     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51777     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51778     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51780     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51781     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51783     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51784     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51786     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51787     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51789     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51790     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51792     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51793     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51795     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51797     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51798     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51800     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51801     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51803     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51804     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51806     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51807     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51809     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51810     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51812     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51813     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51815     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51817     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51818     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51820     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51822     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51823     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51825     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51826     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51828     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51829     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51831     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51832     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51834     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51835     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51837     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51839     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51840     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51842     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51843     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51845     10.41.255.9:http       TIME_WAIT
  TCP    10.11.58.141:51846     10.41.255.9:http       TIME_WAIT
