
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:135            BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:445            BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:1310           BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:3306           BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:3389           BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:5800           BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:5900           BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:8888           BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:12225          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:15576          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:49152          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:49153          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:49154          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:49157          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:50398          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:50399          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:51671          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:55600          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:55614          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:55615          BJNGDHKZMB3X:0         LISTENING
  TCP    0.0.0.0:55616          BJNGDHKZMB3X:0         LISTENING
  TCP    10.11.72.56:139        BJNGDHKZMB3X:0         LISTENING
  TCP    10.11.72.56:49675      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:50829      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51018      10.41.255.9:http       FIN_WAIT_2
  TCP    10.11.72.56:51443      bjngsdcap03:epmap      TIME_WAIT
  TCP    10.11.72.56:51444      bjngsdcap03:epmap      TIME_WAIT
  TCP    10.11.72.56:51445      bjngsdcap03:epmap      TIME_WAIT
  TCP    10.11.72.56:51446      bjngsdcap03:49156      TIME_WAIT
  TCP    10.11.72.56:51447      bjngsdcap03:49156      TIME_WAIT
  TCP    10.11.72.56:51448      bjngsdcap03:49156      TIME_WAIT
  TCP    10.11.72.56:51484      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51485      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51486      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51491      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51492      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51493      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51494      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51495      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51497      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51501      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51504      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51506      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51512      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51516      bjngsdcap03:49156      TIME_WAIT
  TCP    10.11.72.56:51526      bjngsdcap02:microsoft-ds  ESTABLISHED
  TCP    10.11.72.56:51534      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51535      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51540      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51541      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51542      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51544      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51545      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51546      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51555      bjngsmbx02:epmap       TIME_WAIT
  TCP    10.11.72.56:51563      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51564      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51565      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51567      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51568      10.41.255.9:http       ESTABLISHED
  TCP    10.11.72.56:51569      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51570      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51571      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51572      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51573      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51574      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51575      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51576      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51577      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51578      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51579      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51580      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51581      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51582      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51583      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51584      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51585      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51586      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51587      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51588      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51589      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51590      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51591      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51592      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51593      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51594      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51595      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51596      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51597      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51598      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51599      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51600      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51601      10.41.255.9:http       TIME_WAIT
  TCP    10.11.72.56:51602      10.41.255.9:http       TIME_WAIT
